,City ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Temp,Wind Speed
0,300,ushuaia,75,AR,1611953364,75,-54.8,-68.3,5.0,11.32
1,721,harindanga,20,IN,1611953364,82,22.0383,88.3214,17.0,2.06
2,801,coihaique,20,CL,1611953364,39,-45.5752,-72.0662,17.0,5.14
3,800,kruisfontein,1,ZA,1611953200,80,-34.0033,24.7314,17.22,0.45
4,803,albany,64,US,1611952789,43,42.6001,-73.9662,-8.84,5.36
5,804,mount gambier,90,AU,1611953365,100,-37.8333,140.7667,14.0,4.12
6,800,altar,0,MX,1611953365,34,30.7,-111.8167,20.0,4.92
7,802,mataura,29,NZ,1611953236,80,-46.1927,168.8643,8.89,3.58
8,800,saint-philippe,0,RE,1611953240,65,-21.3585,55.7679,24.32,2.06
9,803,kushmurun,62,KZ,1611953365,93,52.4503,64.6311,-7.79,3.67
10,802,port elizabeth,40,ZA,1611953183,88,-33.918,25.5701,17.0,3.09
11,800,ranfurly,4,NZ,1611953365,74,-45.1333,170.1,8.89,0.47
12,804,severo-kurilsk,98,RU,1611953366,91,50.6789,156.125,-6.21,6.33
13,802,aklavik,40,CA,1611953366,68,68.2191,-135.0107,-35.0,1.03
14,800,oranjemund,0,NA,1611953366,82,-28.55,16.4333,16.69,6.5
15,804,laguna,90,US,1611953366,93,38.421,-121.4238,10.22,0.73
16,803,tanabe,79,JP,1611953366,75,33.7333,135.3667,3.51,8.3
17,804,bluff,87,NZ,1611953201,80,-46.6,168.3333,8.89,3.58
18,500,airai,100,TL,1611953366,100,-8.9266,125.4092,16.47,1.96
19,600,jamestown,90,US,1611952608,73,42.097,-79.2353,-6.37,7.2
20,803,new norfolk,62,AU,1611953230,91,-42.7826,147.0587,15.45,0.88
21,803,kaitangata,78,NZ,1611953242,74,-46.2817,169.8464,12.78,0.89
22,800,lavrentiya,0,RU,1611953249,82,65.5833,-171.0,-26.57,5.95
23,801,tuktoyaktuk,20,CA,1611953206,74,69.4541,-133.0374,-37.0,1.54
24,800,tanout,0,NE,1611953367,22,14.9709,8.8879,19.23,5.94
25,800,poum,8,NC,1611953256,75,-20.2333,164.0167,26.41,6.95
26,500,avarua,20,CK,1611953234,79,-21.2078,-159.775,29.0,3.6
27,803,saskylakh,59,RU,1611953259,79,71.9167,114.0833,-39.33,0.66
28,804,severnyy-kospashskiy,100,RU,1611953367,63,59.0925,57.8008,-9.44,1.34
29,803,punta arenas,75,CL,1611953367,62,-53.15,-70.9167,10.0,10.29
30,800,carnarvon,2,AU,1611953231,89,-24.8667,113.6333,26.0,3.09
31,804,asau,96,RO,1611952811,57,46.4333,26.4,2.78,2.28
32,804,maningrida,98,AU,1611953280,90,-12.0667,134.2667,24.99,2.51
33,800,saldanha,0,ZA,1611953207,89,-33.0117,17.9442,18.35,5.67
34,804,hermanus,87,ZA,1611952987,85,-34.4187,19.2345,16.67,1.71
35,802,banjar,40,ID,1611952821,89,-8.19,114.9675,26.0,1.54
36,802,cherskiy,48,RU,1611953238,83,68.75,161.3,-35.91,1.96
37,804,ust-nera,100,RU,1611953368,79,64.5667,143.2,-26.95,1.31
38,804,chokurdakh,100,RU,1611953206,86,70.6333,147.9167,-31.28,3.41
39,801,georgetown,20,MY,1611953258,78,5.4112,100.3354,24.43,1.54
40,800,katsuura,0,JP,1611953248,48,35.1333,140.3,2.77,8.23
